par,row,col,time
16.54,0,0,16212.96
16.47,0,0,16212.966
16.38,0,0,16212.969
16.29,0,0,16212.972
16.21,0,0,16212.975
16.12,0,0,16212.978
16.04,0,0,16212.981
15.95,0,0,16212.984
15.87,0,0,16212.987
15.77,0,0,16212.993
15.73,0,0,16212.996
15.6,0,0,16213.002
15.51,0,0,16213.005
15.47,0,0,16213.008
15.44,0,0,16213.011
15.44,0,0,16213.014
15.39,0,0,16213.02
15.44,0,0,16213.023
15.44,0,0,16213.026
15.47,0,0,16213.029
15.51,0,0,16213.032
15.55,0,0,16213.035
15.64,0,0,16213.041
15.64,0,0,16213.044
15.64,0,0,16213.05
15.68,0,0,16213.053
15.68,0,0,16213.056
15.68,0,0,16213.059
15.68,0,0,16213.062
15.68,0,0,16213.065
15.68,0,0,16213.068
15.73,0,0,16213.071
15.68,0,0,16213.077
15.73,0,0,16213.08
15.73,0,0,16213.083
15.77,0,0,16213.086
15.77,0,0,16213.089
15.81,0,0,16213.092
15.81,0,0,16213.095
15.87,0,0,16213.098
15.87,0,0,16213.104
15.91,0,0,16213.107
15.91,0,0,16213.11
15.91,0,0,16213.113
15.91,0,0,16213.116
15.91,0,0,16213.119
15.91,0,0,16213.122
15.87,0,0,16213.125
15.87,0,0,16213.131
15.87,0,0,16213.134
15.87,0,0,16213.137
15.87,0,0,16213.14
15.87,0,0,16213.143
15.81,0,0,16213.146
15.81,0,0,16213.149
15.81,0,0,16213.152
15.77,0,0,16213.158
15.77,0,0,16213.161
15.77,0,0,16213.164
15.77,0,0,16213.167
15.77,0,0,16213.17
15.87,0,0,16213.173
15.95,0,0,16213.179
16.04,0,0,16213.182
16.12,0,0,16213.188
16.21,0,0,16213.191
16.25,0,0,16213.194
16.34,0,0,16213.197
16.47,0,0,16213.2
16.54,0,0,16213.203
16.63,0,0,16213.206
16.72,0,0,16213.209
16.72,0,0,16213.212
16.85,0,0,16213.215
17.02,0,0,16213.218
17.15,0,0,16213.221
17.32,0,0,16213.224
17.5,0,0,16213.227
17.67,0,0,16213.23
17.84,0,0,16213.233
18.01,0,0,16213.236
18.22,0,0,16213.242
18.35,0,0,16213.245
18.47,0,0,16213.248
18.56,0,0,16213.251
18.65,0,0,16213.254
18.74,0,0,16213.257
18.91,0,0,16213.26
19.04,0,0,16213.263
19.17,0,0,16213.269
19.25,0,0,16213.272
19.38,0,0,16213.275
19.52,0,0,16213.278
19.6,0,0,16213.281
19.68,0,0,16213.284
19.73,0,0,16213.287
19.77,0,0,16213.293
19.81,0,0,16213.296
19.81,0,0,16213.299
19.77,0,0,16213.302
19.98,0,0,16213.305
20.16,0,0,16213.308
20.28,0,0,16213.314
20.58,0,0,16213.317
21.05,0,0,16213.32
21.39,0,0,16213.323
21.69,0,0,16213.326
21.77,0,0,16213.329
21.77,0,0,16213.332
21.69,0,0,16213.335
21.65,0,0,16213.338
21.95,0,0,16213.341
22.2,0,0,16213.347
22.33,0,0,16213.35
22.33,0,0,16213.353
22.3,0,0,16213.356
22.33,0,0,16213.359
22.46,0,0,16213.362
22.55,0,0,16213.368
22.54,0,0,16213.371
22.58,0,0,16213.374
22.2,0,0,16213.377
22.12,0,0,16213.38
22.16,0,0,16213.386
22.2,0,0,16213.389
22.03,0,0,16213.392
21.95,0,0,16213.395
22.25,0,0,16213.401
22.71,0,0,16213.404
23.32,0,0,16213.407
23.91,0,0,16213.413
24.43,0,0,16213.416
24.67,0,0,16213.419
24.84,0,0,16213.422
24.67,0,0,16213.425
24.41,0,0,16213.431
24.41,0,0,16213.434
24.75,0,0,16213.437
25.78,0,0,16213.44
26.22,0,0,16213.443
26.34,0,0,16213.449
26.04,0,0,16213.452
25.84,0,0,16213.455
26.09,0,0,16213.458
26.13,0,0,16213.464
26.09,0,0,16213.467
26.13,0,0,16213.47
26,0,0,16213.473
25.91,0,0,16213.476
25.91,0,0,16213.479
25.99,0,0,16213.482
26.17,0,0,16213.485
26,0,0,16213.488
25.73,0,0,16213.494
26.09,0,0,16213.497
26.3,0,0,16213.5
26.55,0,0,16213.503
26.5,0,0,16213.506
26.34,0,0,16213.509
26.17,0,0,16213.512
25.73,0,0,16213.518
25.47,0,0,16213.521
25.39,0,0,16213.524
25.19,0,0,16213.527
25.06,0,0,16213.53
24.97,0,0,16213.539
25.39,0,0,16213.542
25.65,0,0,16213.548
25.73,0,0,16213.551
25.65,0,0,16213.554
25.52,0,0,16213.557
25.48,0,0,16213.56
25.48,0,0,16213.563
25.69,0,0,16213.566
25.56,0,0,16213.569
25.6,0,0,16213.572
25.27,0,0,16213.578
25.91,0,0,16213.581
26.42,0,0,16213.584
26.76,0,0,16213.59
27.19,0,0,16213.593
27.11,0,0,16213.596
27.23,0,0,16213.599
27.02,0,0,16213.605
26.46,0,0,16213.611
26.39,0,0,16213.614
26.22,0,0,16213.617
25.91,0,0,16213.62
25.68,0,0,16213.623
25.78,0,0,16213.629
25.39,0,0,16213.632
25.52,0,0,16213.635
25.86,0,0,16213.638
26,0,0,16213.644
26.13,0,0,16213.647
26.26,0,0,16213.65
26.3,0,0,16213.653
26.39,0,0,16213.656
26.39,0,0,16213.659
26.22,0,0,16213.665
26.17,0,0,16213.668
26.13,0,0,16213.671
26,0,0,16213.674
25.82,0,0,16213.677
25.6,0,0,16213.68
25.39,0,0,16213.683
25.19,0,0,16213.686
24.97,0,0,16213.692
24.71,0,0,16213.695
24.46,0,0,16213.698
24.21,0,0,16213.701
23.91,0,0,16213.704
23.65,0,0,16213.707
23.39,0,0,16213.71
23.15,0,0,16213.713
22.84,0,0,16213.716
22.38,0,0,16213.725
22.12,0,0,16213.728
21.9,0,0,16213.731
21.69,0,0,16213.734
21.52,0,0,16213.737
21.39,0,0,16213.74
21.27,0,0,16213.743
21.14,0,0,16213.749
21.06,0,0,16213.752
21.01,0,0,16213.755
20.93,0,0,16213.758
20.84,0,0,16213.761
20.76,0,0,16213.764
20.67,0,0,16213.767
20.58,0,0,16213.77
20.5,0,0,16213.773
20.42,0,0,16213.779
20.33,0,0,16213.782
20.07,0,0,16213.788
19.94,0,0,16213.791
19.77,0,0,16213.794
19.57,0,0,16213.797
19.38,0,0,16213.8
19.17,0,0,16213.806
18.95,0,0,16213.809
18.74,0,0,16213.812
18.51,0,0,16213.815
18.31,0,0,16213.818
18.14,0,0,16213.821
17.02,408,754,16212.96
16.95,408,754,16212.963
16.86,408,754,16212.966
16.68,408,754,16212.972
16.59,408,754,16212.978
16.51,408,754,16212.981
16.42,408,754,16212.984
16.34,408,754,16212.987
16.29,408,754,16212.99
16.21,408,754,16212.996
16.12,408,754,16212.999
16.08,408,754,16213.002
15.99,408,754,16213.005
15.95,408,754,16213.008
15.91,408,754,16213.014
15.87,408,754,16213.017
15.87,408,754,16213.02
15.87,408,754,16213.023
15.91,408,754,16213.029
15.95,408,754,16213.038
15.95,408,754,16213.041
15.99,408,754,16213.044
15.99,408,754,16213.047
15.99,408,754,16213.053
16.04,408,754,16213.056
16.04,408,754,16213.059
16.04,408,754,16213.062
16.04,408,754,16213.065
16.04,408,754,16213.071
16.04,408,754,16213.074
16.04,408,754,16213.077
16.08,408,754,16213.08
16.08,408,754,16213.083
16.08,408,754,16213.086
16.12,408,754,16213.092
16.12,408,754,16213.095
16.17,408,754,16213.098
16.21,408,754,16213.104
16.21,408,754,16213.11
16.21,408,754,16213.113
16.21,408,754,16213.116
16.21,408,754,16213.119
16.21,408,754,16213.122
16.21,408,754,16213.128
16.21,408,754,16213.131
16.21,408,754,16213.134
16.17,408,754,16213.137
16.17,408,754,16213.14
16.17,408,754,16213.143
16.17,408,754,16213.149
16.17,408,754,16213.152
16.17,408,754,16213.155
16.12,408,754,16213.158
16.12,408,754,16213.161
16.12,408,754,16213.167
16.12,408,754,16213.17
16.17,408,754,16213.173
16.21,408,754,16213.176
16.25,408,754,16213.179
16.34,408,754,16213.185
16.38,408,754,16213.188
16.47,408,754,16213.191
16.55,408,754,16213.194
16.59,408,754,16213.197
16.73,408,754,16213.203
16.82,408,754,16213.206
16.95,408,754,16213.209
17.07,408,754,16213.212
17.37,408,754,16213.218
17.54,408,754,16213.224
17.72,408,754,16213.227
17.94,408,754,16213.23
18.11,408,754,16213.233
18.32,408,754,16213.236
18.53,408,754,16213.242
18.71,408,754,16213.245
18.84,408,754,16213.248
18.96,408,754,16213.251
19.05,408,754,16213.254
19.18,408,754,16213.26
19.35,408,754,16213.263
19.53,408,754,16213.266
19.62,408,754,16213.269
19.79,408,754,16213.278
19.96,408,754,16213.281
20.01,408,754,16213.284
20.05,408,754,16213.287
20.01,408,754,16213.293
20.05,408,754,16213.296
20.05,408,754,16213.299
20.01,408,754,16213.302
20.21,408,754,16213.305
20.56,408,754,16213.311
20.61,408,754,16213.314
21.29,408,754,16213.317
21.84,408,754,16213.323
22.05,408,754,16213.326
22.27,408,754,16213.329
21.93,408,754,16213.335
21.8,408,754,16213.338
22.23,408,754,16213.341
22.65,408,754,16213.347
22.78,408,754,16213.35
22.82,408,754,16213.353
22.44,408,754,16213.356
22.18,408,754,16213.362
22.27,408,754,16213.365
22.31,408,754,16213.368
22.57,408,754,16213.374
21.97,408,754,16213.377
21.8,408,754,16213.38
21.93,408,754,16213.383
21.93,408,754,16213.386
22.14,408,754,16213.389
21.88,408,754,16213.392
21.71,408,754,16213.395
22.1,408,754,16213.401
22.61,408,754,16213.404
23.64,408,754,16213.41
24.49,408,754,16213.413
25.52,408,754,16213.422
25.52,408,754,16213.425
24.87,408,754,16213.428
24.87,408,754,16213.431
25.52,408,754,16213.437
26.03,408,754,16213.44
26.33,408,754,16213.443
26.63,408,754,16213.449
25.95,408,754,16213.452
25.78,408,754,16213.455
25.48,408,754,16213.461
25.65,408,754,16213.464
25.39,408,754,16213.467
25.09,408,754,16213.473
25.48,408,754,16213.476
25.6,408,754,16213.485
25.52,408,754,16213.488
25.26,408,754,16213.491
25.26,408,754,16213.494
25.65,408,754,16213.497
25.99,408,754,16213.5
26.12,408,754,16213.503
26.03,408,754,16213.506
25.86,408,754,16213.509
25.69,408,754,16213.515
25.48,408,754,16213.518
25.35,408,754,16213.521
24.87,408,754,16213.524
24.7,408,754,16213.527
24.79,408,754,16213.533
24.75,408,754,16213.536
24.79,408,754,16213.539
25.09,408,754,16213.545
25.05,408,754,16213.548
25.05,408,754,16213.551
24.96,408,754,16213.554
24.83,408,754,16213.56
24.83,408,754,16213.563
24.87,408,754,16213.566
24.91,408,754,16213.569
24.91,408,754,16213.572
24.83,408,754,16213.575
24.7,408,754,16213.578
25.22,408,754,16213.584
25.48,408,754,16213.587
25.99,408,754,16213.593
26.63,408,754,16213.596
26.76,408,754,16213.599
26.8,408,754,16213.602
26.38,408,754,16213.605
25.78,408,754,16213.611
26.12,408,754,16213.614
25.82,408,754,16213.617
25.6,408,754,16213.62
25.48,408,754,16213.623
25.43,408,754,16213.626
25.43,408,754,16213.629
24.79,408,754,16213.632
25,408,754,16213.635
24.96,408,754,16213.638
24.96,408,754,16213.644
25.01,408,754,16213.647
25.3,408,754,16213.65
25.3,408,754,16213.653
25.17,408,754,16213.656
25.05,408,754,16213.662
24.92,408,754,16213.665
24.79,408,754,16213.668
24.49,408,754,16213.677
24.49,408,754,16213.68
24.32,408,754,16213.683
24.11,408,754,16213.686
23.94,408,754,16213.689
23.73,408,754,16213.692
23.56,408,754,16213.695
23.34,408,754,16213.701
23.13,408,754,16213.704
22.86,408,754,16213.707
22.65,408,754,16213.71
22.44,408,754,16213.713
22.18,408,754,16213.716
21.97,408,754,16213.722
21.8,408,754,16213.725
21.62,408,754,16213.728
21.45,408,754,16213.731
21.34,408,754,16213.734
21.25,408,754,16213.737
21.16,408,754,16213.743
21.08,408,754,16213.746
21.03,408,754,16213.749
20.99,408,754,16213.752
20.91,408,754,16213.755
20.86,408,754,16213.761
20.82,408,754,16213.764
20.73,408,754,16213.767
20.65,408,754,16213.77
20.56,408,754,16213.773
20.48,408,754,16213.776
20.39,408,754,16213.782
20.29,408,754,16213.785
20.17,408,754,16213.788
20.05,408,754,16213.791
19.92,408,754,16213.794
19.75,408,754,16213.8
19.58,408,754,16213.803
19.35,408,754,16213.806
19.18,408,754,16213.809
18.96,408,754,16213.812
18.79,408,754,16213.815
18.57,408,754,16213.821
19.93,0,754,16212.96
19.89,0,754,16212.963
19.84,0,754,16212.966
19.76,0,754,16212.969
19.72,0,754,16212.972
19.63,0,754,16212.975
19.59,0,754,16212.978
19.5,0,754,16212.981
19.4,0,754,16212.984
19.36,0,754,16212.987
19.28,0,754,16212.99
19.19,0,754,16212.996
19.1,0,754,16212.999
19.02,0,754,16213.002
18.93,0,754,16213.005
18.89,0,754,16213.008
18.8,0,754,16213.011
18.76,0,754,16213.014
18.68,0,754,16213.017
18.63,0,754,16213.02
18.58,0,754,16213.026
18.54,0,754,16213.029
18.45,0,754,16213.032
18.45,0,754,16213.035
18.41,0,754,16213.038
18.41,0,754,16213.041
18.36,0,754,16213.047
18.36,0,754,16213.053
18.41,0,754,16213.062
18.41,0,754,16213.065
18.45,0,754,16213.068
18.45,0,754,16213.071
18.45,0,754,16213.077
18.45,0,754,16213.08
18.45,0,754,16213.083
18.45,0,754,16213.086
18.49,0,754,16213.092
18.49,0,754,16213.095
18.49,0,754,16213.098
18.54,0,754,16213.101
18.54,0,754,16213.104
18.58,0,754,16213.107
18.58,0,754,16213.11
18.58,0,754,16213.113
18.63,0,754,16213.116
18.63,0,754,16213.119
18.63,0,754,16213.125
18.63,0,754,16213.128
18.68,0,754,16213.131
18.68,0,754,16213.134
18.68,0,754,16213.137
18.68,0,754,16213.14
18.68,0,754,16213.143
18.72,0,754,16213.146
18.72,0,754,16213.149
18.72,0,754,16213.152
18.72,0,754,16213.158
18.76,0,754,16213.161
18.85,0,754,16213.164
18.93,0,754,16213.167
19.1,0,754,16213.17
19.23,0,754,16213.173
19.31,0,754,16213.176
19.44,0,754,16213.179
19.67,0,754,16213.188
19.75,0,754,16213.191
19.88,0,754,16213.194
19.97,0,754,16213.197
20.19,0,754,16213.203
20.24,0,754,16213.206
20.32,0,754,16213.209
20.32,0,754,16213.212
20.46,0,754,16213.215
20.54,0,754,16213.218
20.67,0,754,16213.221
20.8,0,754,16213.224
20.84,0,754,16213.227
20.88,0,754,16213.23
21.1,0,754,16213.233
21.27,0,754,16213.239
21.48,0,754,16213.242
21.57,0,754,16213.245
21.74,0,754,16213.248
21.87,0,754,16213.251
21.91,0,754,16213.254
22.09,0,754,16213.26
22.39,0,754,16213.266
22.43,0,754,16213.269
22.43,0,754,16213.272
22.34,0,754,16213.275
22.47,0,754,16213.278
22.47,0,754,16213.281
22.47,0,754,16213.287
22.47,0,754,16213.29
22.47,0,754,16213.293
22.43,0,754,16213.296
22.39,0,754,16213.299
22.3,0,754,16213.302
22.39,0,754,16213.305
22.6,0,754,16213.308
22.64,0,754,16213.314
22.82,0,754,16213.317
23.13,0,754,16213.32
23.25,0,754,16213.323
23.38,0,754,16213.326
23.6,0,754,16213.329
23.38,0,754,16213.335
23.34,0,754,16213.338
23.6,0,754,16213.341
23.73,0,754,16213.344
23.77,0,754,16213.347
23.77,0,754,16213.353
23.72,0,754,16213.356
23.81,0,754,16213.359
23.94,0,754,16213.362
24.03,0,754,16213.365
24.03,0,754,16213.368
24.03,0,754,16213.371
24.24,0,754,16213.374
23.98,0,754,16213.377
23.81,0,754,16213.38
23.77,0,754,16213.383
23.77,0,754,16213.386
23.9,0,754,16213.392
23.6,0,754,16213.395
23.6,0,754,16213.398
23.77,0,754,16213.401
24.28,0,754,16213.407
24.97,0,754,16213.41
25.19,0,754,16213.413
25.44,0,754,16213.419
25.74,0,754,16213.422
25.61,0,754,16213.425
25.01,0,754,16213.428
24.62,0,754,16213.431
24.46,0,754,16213.44
24.55,0,754,16213.443
24.84,0,754,16213.446
24.71,0,754,16213.449
24.5,0,754,16213.452
24.37,0,754,16213.461
24.41,0,754,16213.464
24.32,0,754,16213.467
24.2,0,754,16213.47
24.2,0,754,16213.473
24.11,0,754,16213.479
24.24,0,754,16213.482
24.28,0,754,16213.485
24.58,0,754,16213.488
24.28,0,754,16213.494
24.46,0,754,16213.497
24.71,0,754,16213.5
24.8,0,754,16213.503
24.71,0,754,16213.506
24.63,0,754,16213.509
24.5,0,754,16213.512
24.46,0,754,16213.515
24.24,0,754,16213.518
24.37,0,754,16213.524
24.33,0,754,16213.527
24.28,0,754,16213.53
24.24,0,754,16213.533
24.2,0,754,16213.536
23.98,0,754,16213.539
23.93,0,754,16213.542
24.16,0,754,16213.545
24.11,0,754,16213.548
24.11,0,754,16213.551
24.03,0,754,16213.557
23.98,0,754,16213.56
23.94,0,754,16213.563
23.77,0,754,16213.566
23.81,0,754,16213.575
23.9,0,754,16213.578
24.33,0,754,16213.581
24.89,0,754,16213.584
25.1,0,754,16213.59
25.53,0,754,16213.593
25.88,0,754,16213.596
25.88,0,754,16213.599
25.7,0,754,16213.605
25.27,0,754,16213.611
25.49,0,754,16213.614
24.93,0,754,16213.617
24.8,0,754,16213.62
24.63,0,754,16213.626
24.89,0,754,16213.629
24.71,0,754,16213.632
24.33,0,754,16213.635
24.41,0,754,16213.641
24.33,0,754,16213.644
24.11,0,754,16213.647
24.03,0,754,16213.653
24.2,0,754,16213.656
23.98,0,754,16213.659
24.16,0,754,16213.662
24.16,0,754,16213.665
24.16,0,754,16213.668
24.16,0,754,16213.671
24.11,0,754,16213.674
24.11,0,754,16213.677
24.07,0,754,16213.68
24.03,0,754,16213.686
24.03,0,754,16213.689
23.94,0,754,16213.692
23.86,0,754,16213.695
23.77,0,754,16213.698
23.68,0,754,16213.701
23.6,0,754,16213.704
23.56,0,754,16213.707
23.43,0,754,16213.71
23.3,0,754,16213.713
23.17,0,754,16213.719
23.03,0,754,16213.722
22.94,0,754,16213.725
22.82,0,754,16213.728
22.73,0,754,16213.731
22.64,0,754,16213.734
22.43,0,754,16213.74
22.3,0,754,16213.743
22.17,0,754,16213.746
22.09,0,754,16213.749
22.09,0,754,16213.752
21.96,0,754,16213.755
21.83,0,754,16213.758
21.74,0,754,16213.761
21.61,0,754,16213.764
21.49,0,754,16213.767
21.36,0,754,16213.77
21.27,0,754,16213.773
21.14,0,754,16213.776
20.97,0,754,16213.779
20.84,0,754,16213.782
20.84,0,754,16213.788
20.63,0,754,16213.794
20.54,0,754,16213.797
20.41,0,754,16213.8
20.32,0,754,16213.803
20.23,0,754,16213.806
20.14,0,754,16213.809
20.06,0,754,16213.812
20.06,0,754,16213.815
19.89,0,754,16213.821
16.82,408,0,16212.96
16.78,408,0,16212.963
16.68,408,0,16212.966
16.59,408,0,16212.969
16.55,408,0,16212.972
16.47,408,0,16212.975
16.38,408,0,16212.978
16.29,408,0,16212.981
16.21,408,0,16212.984
16.17,408,0,16212.99
16.08,408,0,16212.993
15.95,408,0,16212.999
15.91,408,0,16213.002
15.87,408,0,16213.005
15.77,408,0,16213.008
15.73,408,0,16213.011
15.73,408,0,16213.014
15.68,408,0,16213.017
15.68,408,0,16213.02
15.64,408,0,16213.023
15.68,408,0,16213.026
15.68,408,0,16213.029
15.73,408,0,16213.032
15.73,408,0,16213.035
15.77,408,0,16213.038
15.77,408,0,16213.041
15.81,408,0,16213.044
15.81,408,0,16213.047
15.87,408,0,16213.056
15.87,408,0,16213.059
15.87,408,0,16213.062
15.87,408,0,16213.068
15.87,408,0,16213.071
15.87,408,0,16213.074
15.87,408,0,16213.077
15.87,408,0,16213.08
15.91,408,0,16213.086
15.91,408,0,16213.089
15.91,408,0,16213.092
15.95,408,0,16213.095
15.95,408,0,16213.098
15.99,408,0,16213.101
15.99,408,0,16213.104
16.04,408,0,16213.107
16.04,408,0,16213.11
16.04,408,0,16213.113
16.04,408,0,16213.116
16.04,408,0,16213.122
16.04,408,0,16213.125
16.04,408,0,16213.128
16.04,408,0,16213.131
16.04,408,0,16213.134
16.04,408,0,16213.137
16.04,408,0,16213.143
16.04,408,0,16213.146
16.04,408,0,16213.149
15.99,408,0,16213.152
15.99,408,0,16213.155
15.99,408,0,16213.158
15.99,408,0,16213.161
15.99,408,0,16213.164
15.99,408,0,16213.167
15.99,408,0,16213.17
16.04,408,0,16213.173
16.04,408,0,16213.176
16.12,408,0,16213.179
16.17,408,0,16213.182
16.21,408,0,16213.185
16.29,408,0,16213.188
16.34,408,0,16213.191
16.42,408,0,16213.194
16.47,408,0,16213.197
16.55,408,0,16213.2
16.64,408,0,16213.203
16.73,408,0,16213.206
16.82,408,0,16213.209
16.82,408,0,16213.212
17.03,408,0,16213.215
17.03,408,0,16213.218
17.17,408,0,16213.221
17.35,408,0,16213.224
17.52,408,0,16213.227
17.66,408,0,16213.23
17.83,408,0,16213.233
17.96,408,0,16213.236
18.3,408,0,16213.242
18.43,408,0,16213.245
18.56,408,0,16213.248
18.65,408,0,16213.251
18.74,408,0,16213.254
18.83,408,0,16213.257
19.01,408,0,16213.26
19.18,408,0,16213.263
19.31,408,0,16213.266
19.39,408,0,16213.269
19.53,408,0,16213.272
19.62,408,0,16213.278
19.75,408,0,16213.281
19.83,408,0,16213.284
19.92,408,0,16213.287
19.88,408,0,16213.29
19.96,408,0,16213.293
20.01,408,0,16213.296
20.01,408,0,16213.299
19.96,408,0,16213.302
20.13,408,0,16213.305
20.35,408,0,16213.308
20.4,408,0,16213.311
20.62,408,0,16213.317
21.19,408,0,16213.32
21.57,408,0,16213.323
21.79,408,0,16213.326
21.96,408,0,16213.329
21.87,408,0,16213.332
21.79,408,0,16213.335
21.91,408,0,16213.341
22.26,408,0,16213.344
22.43,408,0,16213.347
22.43,408,0,16213.35
22.43,408,0,16213.353
22.34,408,0,16213.359
22.56,408,0,16213.362
22.87,408,0,16213.368
23.04,408,0,16213.371
22.74,408,0,16213.374
22.34,408,0,16213.38
22.3,408,0,16213.383
22.43,408,0,16213.386
22.56,408,0,16213.389
22.21,408,0,16213.392
22.09,408,0,16213.395
23,408,0,16213.404
23.91,408,0,16213.407
24.95,408,0,16213.413
25.59,408,0,16213.416
26.03,408,0,16213.419
26.26,408,0,16213.422
25.85,408,0,16213.425
25.38,408,0,16213.428
25.42,408,0,16213.434
26.08,408,0,16213.437
26.82,408,0,16213.44
27.29,408,0,16213.443
27.37,408,0,16213.446
26.52,408,0,16213.455
26.56,408,0,16213.458
26.64,408,0,16213.461
26.64,408,0,16213.464
26.39,408,0,16213.47
26.03,408,0,16213.473
26.34,408,0,16213.476
26.43,408,0,16213.479
26.6,408,0,16213.482
26.16,408,0,16213.488
26.03,408,0,16213.491
25.9,408,0,16213.494
26.43,408,0,16213.497
26.39,408,0,16213.5
25.95,408,0,16213.509
26.16,408,0,16213.512
26.03,408,0,16213.515
25.59,408,0,16213.518
25.68,408,0,16213.521
25.38,408,0,16213.524
25.21,408,0,16213.527
25.12,408,0,16213.53
25.04,408,0,16213.536
25.34,408,0,16213.542
25.68,408,0,16213.545
25.68,408,0,16213.548
25.72,408,0,16213.551
25.62,408,0,16213.554
25.55,408,0,16213.56
25.42,408,0,16213.563
25.68,408,0,16213.566
25.46,408,0,16213.569
25.59,408,0,16213.572
25.51,408,0,16213.578
26.16,408,0,16213.581
26.73,408,0,16213.587
27.16,408,0,16213.59
27.46,408,0,16213.593
27.85,408,0,16213.596
27.72,408,0,16213.599
27.16,408,0,16213.608
26.73,408,0,16213.611
26.82,408,0,16213.614
26.69,408,0,16213.617
26.22,408,0,16213.62
26.03,408,0,16213.623
26.03,408,0,16213.626
25.68,408,0,16213.629
25.55,408,0,16213.632
25.65,408,0,16213.635
25.85,408,0,16213.641
25.91,408,0,16213.644
26.16,408,0,16213.65
26.16,408,0,16213.653
25.99,408,0,16213.656
25.85,408,0,16213.659
25.81,408,0,16213.662
25.54,408,0,16213.665
25.51,408,0,16213.668
25.29,408,0,16213.671
25.34,408,0,16213.674
25.25,408,0,16213.677
25.25,408,0,16213.68
25.08,408,0,16213.683
24.69,408,0,16213.689
24.48,408,0,16213.692
24.3,408,0,16213.695
24.08,408,0,16213.698
23.87,408,0,16213.701
23.65,408,0,16213.704
23.44,408,0,16213.707
23.18,408,0,16213.71
22.95,408,0,16213.713
22.74,408,0,16213.716
22.3,408,0,16213.722
22.09,408,0,16213.725
21.87,408,0,16213.728
21.7,408,0,16213.731
21.4,408,0,16213.737
21.27,408,0,16213.74
21.19,408,0,16213.743
21.1,408,0,16213.746
21.01,408,0,16213.749
20.93,408,0,16213.752
20.88,408,0,16213.755
20.8,408,0,16213.758
20.71,408,0,16213.761
20.62,408,0,16213.767
20.53,408,0,16213.773
20.44,408,0,16213.776
20.35,408,0,16213.779
20.26,408,0,16213.782
20.05,408,0,16213.788
19.96,408,0,16213.791
19.83,408,0,16213.794
19.7,408,0,16213.797
19.53,408,0,16213.8
19.22,408,0,16213.806
19.05,408,0,16213.809
18.87,408,0,16213.812
18.7,408,0,16213.815
18.51,408,0,16213.818
18.34,408,0,16213.821
17.23,816,754,16212.96
17.14,816,754,16212.966
17.06,816,754,16212.969
16.97,816,754,16212.972
16.88,816,754,16212.975
16.8,816,754,16212.978
16.74,816,754,16212.984
16.65,816,754,16212.987
16.48,816,754,16212.993
16.39,816,754,16212.996
16.35,816,754,16213.002
16.26,816,754,16213.005
16.22,816,754,16213.008
16.18,816,754,16213.011
16.13,816,754,16213.014
16.09,816,754,16213.02
16.05,816,754,16213.023
16.09,816,754,16213.029
16.09,816,754,16213.032
16.09,816,754,16213.035
